GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.tiny.oauthserver.sys.service.impl,ResourceServiceImpl,886,48,93,1,207,12,75,5,27,5
JaCoCo Coverage Report,com.tiny.oauthserver.sys.service.impl,SecurityServiceImpl,811,15,102,0,159,6,63,1,12,1
JaCoCo Coverage Report,com.tiny.oauthserver.sys.service.impl,MenuServiceImpl,1515,59,169,13,305,19,111,8,26,2
JaCoCo Coverage Report,com.tiny.oauthserver.sys.service.impl,RoleServiceImpl,94,263,19,17,14,57,20,15,6,11
JaCoCo Coverage Report,com.tiny.oauthserver.sys.service.impl,UserServiceImpl,228,348,25,13,44,80,24,16,7,14
JaCoCo Coverage Report,com.tiny.oauthserver.sys.enums,ResourceType,13,75,3,3,2,15,4,5,1,5
JaCoCo Coverage Report,org.springframework.security.oauth2.server.authorization.web.authentication,OAuth2PasswordAuthenticationConverter,133,0,22,0,24,0,14,0,3,0
JaCoCo Coverage Report,com.tiny.oauthserver.config,ClientProperties.Client.TokenSetting,28,17,0,0,12,5,8,1,8,1
JaCoCo Coverage Report,com.tiny.oauthserver.config,CustomWebAuthenticationDetailsJacksonDeserializer,126,3,10,0,26,1,6,1,1,1
JaCoCo Coverage Report,com.tiny.oauthserver.config,ClientProperties.Client.ClientSetting,6,17,0,0,2,7,2,3,2,3
JaCoCo Coverage Report,com.tiny.oauthserver.config,ClientProperties.Client,10,66,0,0,4,26,3,16,3,16
JaCoCo Coverage Report,com.tiny.oauthserver.config,CustomWebAuthenticationDetailsSource.CustomWebAuthenticationDetails,46,0,0,0,16,0,8,0,8,0
JaCoCo Coverage Report,com.tiny.oauthserver.config,DefaultSecurityConfig,0,133,0,0,0,28,0,11,0,11
JaCoCo Coverage Report,com.tiny.oauthserver.config,CorsConfig,0,113,0,0,0,17,0,2,0,2
JaCoCo Coverage Report,com.tiny.oauthserver.config,CustomWebAuthenticationDetailsSource.CustomWebAuthenticationDetails.new HttpServletRequest() {...},138,0,0,0,71,0,71,0,71,0
JaCoCo Coverage Report,com.tiny.oauthserver.config,ClientProperties.Jwt,0,17,0,0,0,7,0,5,0,5
JaCoCo Coverage Report,com.tiny.oauthserver.config,CustomLoginSuccessHandler,372,24,58,0,76,8,33,2,4,2
JaCoCo Coverage Report,com.tiny.oauthserver.config,CamundaConfig,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.tiny.oauthserver.config,CustomWebAuthenticationDetailsSource,5,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.tiny.oauthserver.config,ClientProperties,0,17,0,0,0,7,0,5,0,5
JaCoCo Coverage Report,com.tiny.oauthserver.config,AuthorizationServerConfig,69,146,14,0,15,31,10,13,3,13
JaCoCo Coverage Report,com.tiny.oauthserver.config,MultiFactorAuthenticationTokenJacksonDeserializer,278,3,56,0,51,1,29,1,1,1
JaCoCo Coverage Report,com.tiny.oauthserver.config,MfaProperties,18,10,0,0,4,4,4,2,4,2
JaCoCo Coverage Report,com.tiny.oauthserver.config,RegisteredClientConfig,123,25,11,3,34,5,8,4,2,3
JaCoCo Coverage Report,com.tiny.oauthserver.config,OAuth2DataConfig,0,48,0,0,0,12,0,4,0,4
JaCoCo Coverage Report,com.tiny.oauthserver.config,FrontendProperties,9,24,0,0,3,10,3,4,3,4
JaCoCo Coverage Report,com.example.sort,BubbleSort,115,0,8,0,20,0,8,0,4,0
JaCoCo Coverage Report,com.tiny.oauthserver.util,QrCodeUtil,34,0,0,0,9,0,1,0,1,0
JaCoCo Coverage Report,com.tiny.oauthserver.util,PemUtils,9,86,1,1,2,20,2,3,1,3
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,GlobalExceptionHandler,23,33,0,0,5,9,2,3,2,3
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,UserController,34,208,4,4,6,43,4,15,1,14
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,IndexController,3,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,LoginController,39,6,8,0,8,3,6,1,2,1
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,ResourceController,211,141,16,0,43,31,21,12,13,12
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,SecurityController,679,18,98,0,132,7,66,1,17,1
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,MessagesController,0,9,0,0,0,4,0,4,0,4
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,RoleController,21,85,0,0,8,16,1,11,1,11
JaCoCo Coverage Report,com.tiny.oauthserver.sys.controller,MenuController,64,6,0,0,13,3,7,1,7,1
JaCoCo Coverage Report,com.tiny.oauthserver.workflow,CustomIdentityPlugin,38,0,2,0,13,0,5,0,4,0
JaCoCo Coverage Report,com.tiny.oauthserver.workflow,CamundaIdentityBridgeFilter,47,9,4,0,12,4,4,1,2,1
JaCoCo Coverage Report,com.tiny.oauthserver.sys.validation,PasswordConfirmValidator,42,51,16,12,13,12,15,3,1,3
JaCoCo Coverage Report,com.tiny.oauthserver.workflow.util,BpmnValidationHelper.BpmnValidationResult,38,0,0,0,14,0,9,0,9,0
JaCoCo Coverage Report,com.tiny.oauthserver.workflow.util,BpmnValidationHelper,298,3,44,0,81,1,28,1,6,1
JaCoCo Coverage Report,com.tiny.oauthserver,OAuth2ExceptionHandler,7,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.tiny.oauthserver,OauthServerApplication,5,3,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,com.tiny.oauthserver.workflow.camunda,CamundaProcessEngineServiceImpl,1470,3,188,0,327,1,139,1,45,1
JaCoCo Coverage Report,com.tiny.oauthserver.workflow.camunda,CamundaIdentityProviderSessionFactory,19,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,com.tiny.oauthserver.workflow.camunda,CamundaIdentityProvider,233,0,28,0,67,0,35,0,21,0
JaCoCo Coverage Report,com.tiny.oauthserver.sys.security,MultiFactorAuthenticationToken.AuthenticationFactorType,51,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,com.tiny.oauthserver.sys.security,MultiFactorAuthenticationToken.AuthenticationProviderType,45,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,com.tiny.oauthserver.sys.security,MultiAuthenticationProvider,961,22,127,0,191,8,81,2,17,2
JaCoCo Coverage Report,com.tiny.oauthserver.sys.security,MultiFactorAuthenticationToken,432,0,62,0,89,0,53,0,22,0
JaCoCo Coverage Report,com.tiny.oauthserver.sys.security,TotpService,132,17,16,0,32,5,11,3,3,3
JaCoCo Coverage Report,com.tiny.oauthserver.sys.security,UserDetailsServiceImpl,0,34,0,0,0,8,0,3,0,3
